VDOT	1000	1500	3000	5000	10000	15000	21097	25000	42195
30.0 	5:26 	8:30 	17:56 	30:41 	1:03:49 	1:38:21 	2:21:17 	2:48:54 	-------
30.5 	5:22 	8:22 	17:41 	30:16 	1:02:56 	1:37:00 	2:19:22 	2:46:37 	-------
31.0 	5:17 	8:15 	17:27 	29:51 	1:02:05 	1:35:41 	2:17:30 	2:44:25 	-------
31.5 	5:13 	8:08 	17:13 	29:28 	1:01:15 	1:34:24 	2:15:41 	2:42:15 	-------
32.0 	5:08 	8:02 	16:59 	29:05 	1:00:27 	1:33:09 	2:13:55 	2:40:10 	-------
32.5 	5:04 	7:55 	16:46 	28:42 	59:39 	1:31:57 	2:12:11 	2:38:07 	-------
33.0 	5:00 	7:49 	16:33 	28:20 	58:54 	1:30:46 	2:10:31 	2:36:08 	-------
33.5 	4:56 	7:42 	16:20 	27:59 	58:09 	1:29:37 	2:08:53 	2:34:11 	-------
34.0 	4:52 	7:36 	16:08 	27:38 	57:25 	1:28:30 	2:07:17 	2:32:18 	-------
34.5 	4:48 	7:31 	15:56 	27:18 	56:43 	1:27:25 	2:05:44 	2:30:27 	-------
35.0 	4:45 	7:25 	15:44 	26:59 	56:02 	1:26:21 	2:04:13 	2:28:39 	-------
35.5 	4:41 	7:19 	15:33 	26:39 	55:22 	1:25:19 	2:02:44 	2:26:54 	-------
36.0 	4:38 	7:14 	15:22 	26:21 	54:42 	1:24:18 	2:01:18 	2:25:11 	-------
36.5 	4:34 	7:09 	15:11 	26:02 	54:04 	1:23:19 	1:59:53 	2:23:31 	-------
37.0 	4:31 	7:03 	15:00 	25:45 	53:27 	1:22:21 	1:58:31 	2:21:53 	-------
37.5 	4:28 	6:58 	14:50 	25:27 	52:50 	1:21:25 	1:57:10 	2:20:17 	-------
38.0 	4:25 	6:54 	14:40 	25:10 	52:15 	1:20:30 	1:55:51 	2:18:43 	-------
38.5 	4:22 	6:49 	14:30 	24:54 	51:40 	1:19:36 	1:54:34 	2:17:12 	-------
39.0 	4:19 	6:44 	14:20 	24:38 	51:06 	1:18:44 	1:53:19 	2:15:43 	-------
39.5 	4:16 	6:40 	14:11 	24:22 	50:33 	1:17:52 	1:52:06 	2:14:15 	-------
40.0 	4:13 	6:35 	14:02 	24:06 	50:01 	1:17:02 	1:50:54 	2:12:50 	-------
40.5 	4:10 	6:31 	13:53 	23:51 	49:29 	1:16:13 	1:49:44 	2:11:26 	-------
41.0 	4:08 	6:26 	13:44 	23:36 	48:58 	1:15:25 	1:48:35 	2:10:04 	-------
41.5 	4:05 	6:22 	13:35 	23:22 	48:28 	1:14:38 	1:47:28 	2:08:44 	-------
42.0 	4:02 	6:18 	13:27 	23:08 	47:58 	1:13:52 	1:46:22 	2:07:25 	-------
42.5 	4:00 	6:14 	13:19 	22:54 	47:29 	1:13:07 	1:45:17 	2:06:09 	-------
43.0 	3:57 	6:10 	13:11 	22:40 	47:01 	1:12:24 	1:44:14 	2:04:53 	-------
43.5 	3:55 	6:07 	13:03 	22:27 	46:33 	1:11:40 	1:43:12 	2:03:40 	-------
44.0 	3:53 	6:03 	12:55 	22:14 	46:06 	1:10:58 	1:42:12 	2:02:27 	-------
44.5 	3:50 	5:59 	12:47 	22:01 	45:40 	1:10:17 	1:41:12 	2:01:17 	-------
45.0 	3:48 	5:56 	12:40 	21:49 	45:13 	1:09:37 	1:40:14 	2:00:07 	3:28:16
45.5 	3:46 	5:52 	12:32 	21:36 	44:48 	1:08:57 	1:39:17 	1:58:59 	3:26:21
46.0 	3:44 	5:49 	12:25 	21:24 	44:23 	1:08:18 	1:38:21 	1:57:53 	3:24:29
46.5 	3:41 	5:45 	12:18 	21:13 	43:58 	1:07:40 	1:37:27 	1:56:47 	3:22:38
47.0 	3:39 	5:42 	12:11 	21:01 	43:34 	1:07:03 	1:36:33 	1:55:43 	3:20:50
47.5 	3:37 	5:39 	12:05 	20:50 	43:11 	1:06:26 	1:35:40 	1:54:40 	3:19:03
